estacion,contaminante,n_horario,n_validos_finales,dias_cobertura,n_flag_fisico,n_flag_estadistico,n_flag_stuck,n_imputados,n_validos_brutos,serie_aceptada
CAÑAVERALEJO,SO2,39560,16805,1648,0,1944,234,2639,16344,True
COMPARTIR,O3,43000,33233,1791,0,5586,0,5624,33195,True
ESCUELA_ARGENTINA,SO2,87001,14832,3625,0,764,0,1226,14370,True
ESCUELA_ARGENTINA,NO2,87001,11414,3625,0,170,0,733,10851,True
ESCUELA_ARGENTINA,O3,87001,26514,3625,0,3944,0,3944,26514,True
LA_ERMITA,SO2,46804,21193,1950,0,1015,0,1429,20779,True
LA_FLORA,SO2,84629,12492,3526,0,809,0,1067,12234,True
LA_FLORA,NO2,84629,21140,3526,0,205,0,492,20853,True
LA_FLORA,O3,84629,33316,3526,0,7708,49,7432,33641,True
PANCE,O3,51000,36501,2124,0,4366,189,4718,36338,True
UNIVALLE,NO2,59928,40295,2496,0,1068,185,2873,38675,True
UNIVALLE,O3,59928,47044,2496,0,7496,0,8247,46293,True
