estacion,contaminante,n_horario,n_dedup_caidos,n_validos_brutos,n_flag_fisico,n_flag_estadistico,n_flag_stuck,n_imputados,n_validos_finales,dias_cobertura,serie_aceptada
ACOPI,NO2,30336,0,6246,0,93,0,1528,7681,1263,True
ACOPI,O3,39479,0,16091,0,904,40,4136,19283,1644,True
ACOPI,SO2,21552,0,12035,0,1109,313,3737,14350,897,True
BASE AÉREA,O3,29029,0,7310,0,1891,1086,2122,6455,1209,True
BASE AÉREA,SO2,32316,0,7770,0,777,1371,2293,7918,1346,True
CAÑAVERALEJO,SO2,21638,0,5053,0,613,2713,470,2197,901,True
COMPARTIR,O3,26304,0,7507,0,1259,103,2727,8872,1095,True
ERA OBRERO,O3,24696,0,6939,0,771,262,2902,8808,1028,True
LA ERMITA,SO2,24696,0,8627,0,398,1631,1870,8468,1028,True
LA FLORA,O3,23699,0,5902,0,1138,0,2167,6931,987,True
LA FLORA,SO2,7833,0,4165,0,125,0,1271,5311,326,True
MOVIL,NO2,10814,0,6170,0,51,68,568,6619,450,True
MOVIL,O3,20400,0,15110,0,1579,624,3648,16555,849,True
MOVIL,SO2,6288,0,4902,0,244,0,1265,5923,261,True
PALMIRA,NO2,23664,0,1080,0,3,0,57,1134,985,True
PALMIRA,O3,42802,0,24415,0,2698,299,5524,26942,1783,True
PALMIRA,SO2,7929,0,5634,0,195,37,328,5730,330,True
PANCE,O3,24744,0,5861,0,1140,124,1712,6309,1030,True
TRANSITORIA-NAVARRO,O3,7534,0,4138,0,551,0,1282,4869,313,True
TRANSITORIA-NAVARRO,SO2,5036,0,3297,0,108,0,572,3761,209,True
UNIVERSIDAD DEL VALLE,O3,25827,0,6350,0,1076,124,1692,6843,1076,True
