contaminante,estacion,n_total,n_outliers_fisicos,pct_outliers,n_excede_2254
NO2,MOVIL,6170,0,0.0,0
NO2,PALMIRA,1080,0,0.0,0
NO2,ACOPI,6246,0,0.0,0
SO2,LA ERMITA,8627,0,0.0,0
SO2,LA FLORA,4165,0,0.0,0
SO2,CAÑAVERALEJO,5053,0,0.0,0
SO2,BASE AÉREA,7770,0,0.0,0
SO2,TRANSITORIA-NAVARRO,3297,0,0.0,0
SO2,MOVIL,4902,0,0.0,0
SO2,PALMIRA,5634,0,0.0,52
SO2,ACOPI,12035,0,0.0,635
O3,COMPARTIR,7507,0,0.0,0
O3,PANCE,5861,0,0.0,0
O3,ERA OBRERO,6939,0,0.0,0
O3,LA FLORA,5902,0,0.0,0
O3,BASE AÉREA,7310,0,0.0,0
O3,TRANSITORIA-NAVARRO,4138,0,0.0,0
O3,UNIVERSIDAD DEL VALLE,6350,0,0.0,0
O3,PALMIRA,24415,0,0.0,0
O3,MOVIL,15110,0,0.0,0
O3,ACOPI,16091,0,0.0,0
